5e-07  0.475 0.5
1.53  0.008  6.94e-07
0.001276 0.675838  332.908  492.585  100
9.09349e-07  3.43709e-11  1.13983e-16
1455  2920
0.9848  1.0152  0.918172  0.00781119
2.53766  2.62219  2.60787  0.0783191
3.90663  3.99934  3.90923  0.0823465
4.94436  5.03966  5.03913  0.156687
6.15392  6.23985  6.13537  0.13218
7.17768  7.21603  7.23265  0.177045
8.31502  8.35828  8.29193  0.171285
9.29607  9.2997  9.32116  0.18512
10.3134  10.3351  10.2995  0.201953
11.233  11.231  11.2394  0.187228
12.1407  12.1444  12.1347  0.218851
12.9886  12.9868  12.9876  0.190072
13.8073  13.794  13.8007  0.224435
14.5776  14.5796  14.5771  0.194059
15.3252  15.3009  15.3132  0.2216
16.0198  16.0235  16.024  0.197927
16.7069  16.676  16.6876  0.214749
17.3329  17.3346  17.3411  0.200022
17.9635  17.9319  17.9386  0.206861
18.5312  18.5278  18.5411  0.199087
19.107  19.0773  19.0796  0.199946
19.6263  19.6165  19.6352  0.195657
20.1483  20.1235  20.1222  0.19388
20.6268  20.6113  20.6327  0.189452
21.0974  21.0765  21.0746  0.18859
21.5402  21.5204  21.5425  0.182211
21.9642  21.9466  21.9455  0.182874
22.3743  22.3524  22.3731  0.174731
22.7569  22.7418  22.7423  0.176881
23.1361  23.1133  23.1323  0.167337
23.4825  23.4678  23.4708  0.170221
23.8306  23.8088  23.8258  0.16063
24.146  24.1319  24.136  0.162753
24.4649  24.4446  24.4598  0.154403
24.7535  24.739  24.744  0.155048
25.0441  25.0251  25.0394  0.148517
25.3086  25.2936  25.2989  0.147444
25.5726  25.5551  25.5688  0.142832
25.8152  25.8003  25.8052  0.140073
26.0552  26.0389  26.0521  0.137006
26.2772  26.2625  26.267  0.133178
26.4954  26.4798  26.4927  0.131125
26.6979  26.6837  26.6877  0.126892
26.8966  26.8814  26.894  0.125207
27.0805  27.067  27.0708  0.121035
27.2615  27.2467  27.2588  0.11933
27.4278  27.4153  27.419  0.115544
27.5928  27.5784  27.5898  0.113541
27.7428  27.7313  27.735  0.110165
27.8928  27.8788  27.8895  0.107979
28.0279  28.0171  28.0211  0.104953
28.1639  28.1504  28.1604  0.102742
28.2854  28.2753  28.2793  0.0998134
28.408  28.3952  28.4045  0.0977949
28.5171  28.5076  28.5117  0.0947581
28.6271  28.615  28.6237  0.0931169
28.7249  28.7159  28.7199  0.0898369
28.823  28.8117  28.8199  0.0886512
28.9105  28.9018  28.9057  0.0851084
28.9975  28.9868  28.9946  0.0843796
29.0753  29.067  29.0707  0.0806215
29.152  29.142  29.1494  0.0802297
29.2206  29.2127  29.2162  0.0763827
29.2878  29.2784  29.2855  0.0761869
29.3479  29.3404  29.3437  0.0723877
29.4063  29.3975  29.4042  0.072254
29.4583  29.4512  29.4544  0.0686218
29.5087  29.5003  29.5066  0.0684511
29.553  29.5463  29.5493  0.0650522
29.5958  29.5879  29.5939  0.0647916
29.633  29.6267  29.6297  0.0616326
29.6688  29.6613  29.6669  0.0612892
29.6993  29.6934  29.6963  0.0583367
29.7286  29.7214  29.7267  0.0579519
29.7529  29.7473  29.7502  0.055152
29.7759  29.7692  29.7741  0.0547855
29.7945  29.7893  29.792  0.0520766
29.8117  29.8054  29.81  0.0517723
29.8249  29.82  29.8226  0.0491089
29.8366  29.8307  29.8351  0.0488952
29.8449  29.8402  29.8427  0.0462598
29.8514  29.8459  29.85  0.0461388
29.855  29.8506  29.853  0.043538
29.8567  29.8516  29.8555  0.0434889
29.8559  29.8518  29.8541  0.0409464
29.8532  29.8484  29.8521  0.0409354
29.8482  29.8444  29.8465  0.0384809
29.8414  29.8369  29.8403  0.0384738
29.8325  29.8289  29.8309  0.0361339
29.8217  29.8175  29.8208  0.036104
29.8092  29.8058  29.8078  0.0338941
29.7948  29.7909  29.794  0.0338294
29.7788  29.7757  29.7775  0.0317505
29.7611  29.7574  29.7603  0.0316514
29.7419  29.7389  29.7407  0.0296924
29.7209  29.7175  29.7202  0.0295698
29.6987  29.6959  29.6976  0.0277121
29.6747  29.6716  29.6741  0.0275818
29.6497  29.6471  29.6487  0.0258066
29.6229  29.62  29.6224  0.0256832
29.5952  29.5929  29.5944  0.0239746
29.5659  29.5631  29.5654  0.0238669
29.5357  29.5335  29.535  0.0222161
29.5039  29.5014  29.5034  0.022126
29.4714  29.4693  29.4707  0.0205312
29.4372  29.4349  29.4369  0.0204545
29.4026  29.4007  29.402  0.0189194
29.3663  29.3642  29.366  0.0188479
29.3296  29.3279  29.3291  0.0173784
29.2913  29.2894  29.2911  0.0173033
29.2527  29.2511  29.2523  0.0159046
29.2125  29.2108  29.2124  0.0158191
29.1721  29.1707  29.1717  0.0144936
29.1302  29.1286  29.1301  0.0143945
29.0881  29.0868  29.0878  0.0131407
29.0446  29.0431  29.0445  0.0130288
29.0009  28.9997  29.0007  0.0118418
28.9559  28.9545  28.9558  0.0117207
28.9107  28.9096  28.9105  0.0105937
28.8643  28.863  28.8643  0.0104683
28.8177  28.8168  28.8176  0.00939406
28.7699  28.7689  28.77  0.00926906
28.7221  28.7213  28.7221  0.00824145
28.6731  28.6721  28.6732  0.00811988
28.6241  28.6233  28.6241  0.00713493
28.5739  28.5731  28.574  0.0070177
28.5238  28.5232  28.5238  0.00607356
28.4726  28.4718  28.4727  0.00595967
28.4214  28.4208  28.4215  0.00505618
28.3692  28.3685  28.3694  0.00494349
28.3171  28.3166  28.3172  0.00408126
28.2639  28.2634  28.2641  0.00396741
28.2109  28.2105  28.211  0.00314692
28.1569  28.1564  28.1571  0.00303012
28.103  28.1027  28.1032  0.002251
28.0482  28.0479  28.0485  0.00213059
27.9936  27.9934  27.9938  0.00139138
27.9381  27.9378  27.9384  0.00126781
27.8828  27.8826  27.883  0.000566042
27.8266  27.8264  27.8269  0.000440686
27.7706  27.7705  27.7709  -0.000226621
27.7138  27.7137  27.7141  -0.000352097
27.6572  27.6572  27.6575  -0.000987973
27.5998  27.5998  27.6002  -0.00111201
27.5427  27.5427  27.543  -0.00171906
27.4848  27.4848  27.4852  -0.00184064
27.4271  27.4272  27.4275  -0.00242078
27.3687  27.3688  27.3692  -0.00253958
27.3106  27.3108  27.311  -0.00309396
27.2518  27.252  27.2523  -0.00321027
27.1933  27.1935  27.1937  -0.00373953
27.1341  27.1343  27.1346  -0.00385398
27.0752  27.0755  27.0756  -0.00435849
27.0157  27.0159  27.0161  -0.00447176
26.9564  26.9567  26.9568  -0.00495196
26.8965  26.8969  26.897  -0.00506452
26.837  26.8373  26.8374  -0.00552108
26.7768  26.7772  26.7774  -0.00563306
26.717  26.7174  26.7175  -0.00606699
26.6566  26.657  26.6571  -0.00617815
26.5965  26.597  26.597  -0.00659075
26.5359  26.5364  26.5365  -0.00670059
26.4756  26.4761  26.4761  -0.00709328
26.4148  26.4153  26.4154  -0.00720121
26.3543  26.3549  26.3548  -0.00757538
26.2934  26.2939  26.294  -0.00768091
26.2327  26.2333  26.2333  -0.00803777
26.1717  26.1723  26.1723  -0.00814058
26.1109  26.1115  26.1114  -0.00848109
26.0497  26.0503  26.0503  -0.00858112
25.9888  25.9895  25.9894  -0.00890597
25.9276  25.9282  25.9282  -0.00900333
25.8666  25.8672  25.8671  -0.00931302
25.8053  25.8059  25.8059  -0.00940795
